BL record ID;Title;Standardised title;Other titles;Composer;Composer life dates;Other names;Publication date (standardised);Country of publication;Place of publication;Publisher;Notes;Contents;Subject/genre terms;Voices;Titles madrigals
4470116;Il Lauro verde, madrigali à sei voci;;;;;"Baldini, Vittorio [printer] ; Bellasio, Paolo [composer] ; Bertani, Lelio [composer] ; Cavaccio, Giovanni [composer] ; Corfini, Jacopo [composer] ; Fiorini, Ippolito [composer] ; Giovannelli, Ruggiero [composer] ; Isnardi, Paolo [composer] ; Locatello, Giovanni Battista [composer] ; Luzzaschi, Luzzasco [composer] ; Macque, Giovanni de [composer] ; Marenzio, Luca [composer] ; Meldert, Leonardo [composer] ; Milleville, Alessandro [composer] ; Mira, Leandro [composer] ; Monte, Philippe de [composer] ; Moscaglia, Giovanni Battista [composer] ; Nanino, Giovanni Maria [composer] ; Nicoletti, Filippo [composer] ; Orlandini, Antonio [composer] ; Peruve, Nicolas [composer] ; Porta, Costanzo [composer] ; Pratoneri, Gaspero [composer] ; Rovigo, Francesco [composer] ; Roy, Bartolomeo [composer] ; Ruotta, Andrea [composer] ; Soriano, Francesco [composer] ; Stabile, Annibale [composer] ; Trombetti, Ascanio [composer] ; Vecchi, Orazio [composer] ; Virchi, Paolo [composer] ; Wert, Giaches de [composer]";1583;Italy;Ferrara;per Vittorio Baldini;"Collection of Italian madrigals in six parts (SATB56), with table of authors at the end ; Transcribed title page from quinto part book: IL LAVRO VERDE, / MADRIGALI / À SEI VOCI / di diuersi Autori / IN FERRARA, / Per Vittorio Baldini. 1583 ; Copy at D.155. Digitised score at http://purl.org/rism/BI/1583/10 ; Copy at D.155. Quinto (34 leaves); original foliation: Quinto: [1], 2-34 f.; paper dimensions: 213 x 152 mm";"Bianchi Cigni, e canori (seconda parte: Alzate il novo Lauro oltra le stelle; terza parte: Guidate dolci, & amorosi balli) / Luca Marentio -- Cresci, pianta novella / Costanzo Porta -- Già primavera di vari colori / Giovan Battista Lucatello -- Io vidi Amor con pargoletta mano / Giovanni di Macque -- Verde Lauro è’l mio core / Filippo di Monte -- Cresci, bel, verde Alloro / Leonardo Meldert -- La giovinetta scorza / Lelio Bertani -- Chi vuol veder nel verde / Antonio Orlandini -- Da i puri loro, e limpidi cristalli / Gio: Maria Nanino -- Ninfe leggiadre, e voi almi Pastori / Giaches VVert -- Verder Lauro gentil gradito in Cielo / Annibal Stabile -- Liete le Muse à l’ombra / Francesco Rovigo -- Ecco il bel Lauro verde / Luzzasco Luzzaschi -- Dal mio Lauro novello / Spirto da Reggio -- Da questo novo Lauro Prendon le verdeggianti / Francesco Soriano -- Pianta gentil, che co’ bei rami ascendi / Nicoló Peruve -- Spargan Flora, e Giunon tranquille / Ruggiero Giovanelli -- Verdi piagge, fiorite, Cui sempre intorno gira / Bartolomeo Roy -- Lascian le fresche linfe / Horatio Vecchi -- Laura, che’l verde Lauro, e l’aurea spoglia / Ascanio Trombetti -- Tra verdi rami d’un novello Alloro / Hippolito Fiorino -- Felice primavera Di bei pensier fiorisce nel mio core / Paolo Virchi -- Mentr’io fuggia schernito / Alessandro Milleville -- Del secco incolto Lauro / Gio. Battista Moscaglia -- Cari, leggiadri, & amorosi augelli / Paolo Isnardi -- Amor, se, tua mercè, d’un secco Lauro / Jacopo Corfini -- D’un novo, e verde Lauro / Gioanni Cavaccio -- Come il Lauro non perde / Leandro Mira -- Amor, che vide un giorno / Paulo Bellasio -- Sovra le verdi chiome / Andrea Ruotta -- Quanto felici sete Leggiadretti pastori / Filippo Nicoletti";Madrigals, Italian;6;
4430607;"Il Quarto Libro de Madrigali a Cinque Voci di Marc' Antonio Ingegneri; Nouamente composti, & dati in luce. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.)";;;Ingegneri, Marco Antonio;;;1584;Italy;Venetia;Appresso Angelo Gardano;;;;5;
4671829;Spoglia amorosa : madrigali à cinque voci;;;;;"Borghese, Marcantonio, principe [former owner] ; Giovannelli, Ruggiero [composer] ; Landono, Francesco [compiler] ; Lasso, Orlando di [composer] ; Merulo, Claudio [composer] ; Monte, Philippe de [composer] ; Nanino, Giovanni Maria [composer] ; Nola, Gian Domenico del Giovane da [composer] ; Palestrina, Giovanni Pierluigi da [composer] ; Rore, Cipriano de [composer] ; Scotto, Melchiorre [printer] ; Scotto, Ottaviano [dedicatee] ; Striggio, Alessandro [composer] ; Wert, Giaches de [composer]";1584;Italy;"In Vinegia ; Venice";Appresso L'herede di Girolamo Scotto;"Collection of madrigals in five parts (SATB5) ; Title from Tenore part book ; Transcribed title page from Tenore part book: SPOGLIA AMOROSA / MADRIGALI A CINQVE VOCI / DI DIVERSI ECCELLENTISSIMI MVSICI / Nuouamente posti in luce. / IN VINEGIA Appresso l’Herede di Girolamo Scotto. / M. D. LXXXIIII ; With table of contents ; Copy at D.202. Digitised score at http://purl.org/rism/BI/1584/5 ; Copy at D.202. [ALTO] (14 leaves) TENORE (16 leaves) BASSO (16 leaves) QVINTO (16 leaves); original foliation: Alto: 3-6, [pages 7, 8 lacking], 9-31, [32] Tenore: [1-2], 1-31, [32] Basso: [1-2], 1-31, [32] Quinto: [1-2], 8, 7, 3-6, 9-31, [32]; paper dimensions: 218 x 152 mm (alto, tenore and basso secondo part books), 205 x 150 mm (quinto part book)";Vestiva i colli (seconda parte: Cosi le chiome mie) / Gianetto Palestina -- Mirami vita mia / Claudio da Correggio -- Erano i capei d’oro (seconda parte: Non era l'andar suo) / Gio: Maria Nanino -- Morir non puo’l mio core / Gio: Maria Nanino -- Mentre ti fui si grato / Gio: Maria Nanino -- Che poi [tu farmi] / Rugero Giovanelli -- Cantai mentre ch’i arsi / Cipriano Rore -- Da le perle e rubini / Claudio da Correggio -- Amor deh dimmi come / Gio: Maria Nanino -- Cari scogli dilett’e fide arene (seconda parte: O solitari colli) / Filippo di Monte -- Che fai alma che pensi (seconda parte: Tal'hor tace la lingua) / Filippo di Monte -- Amor mi strugge'l cor / Orlando lasso -- Cara la vita mia / Giaches Vvert -- Datemi pace o duri miei pensieri / Gio. Domenico di Nola -- Invidioso amor del mio bel stato / Alesandro Striggio -- Ahi chi mi rompe il sonno (seconda parte: Di ch’ella mossa) / Filippo di Monte -- Tirsi morir volea (seconda parte: Frenò tirsi il desio) / Lucha Marenzio -- Che fa hoggi il mio sole / Lucca Marentio -- Volsi hor non voglio (seconda parte: Gratia e bellezza) / Filippo di Monte -- Alma susana ben felic’il core / Cipriano Rore -- Euro gentil se d’amoroso ardore (seconda parte: Et in sembiante) / Orlando Lasso;Madrigals, Italian;5;
4359218;Sdegnosi ardori;;"Ardo sì, ma non t’amo ; Madrigals ; Ardo sì, ma non t'amo";;;"Berg, Adam [publisher] ; Galanti, Giovanni Battista [dedicatee] ; Gigli, Giulio [editor] ; Monte, Philippe de ; Porta, Costanzo ; Varotto, Michele ; Rovigo, Francesco ; Bertani, Lelio ; Regnart, Jacob ; Cavaccio, Giovanni ; Florio, Giorgio ; Costa, Gasparo ; Masnelli, Paolo ; Mosto, Bernardino ; Ragno, Pietro ; Riccio, Giulio ; Lechner, Leonhard ; Salé, François ; Ricci, Flavio ; Lasso, Orlando di ; Fossa, Johannes de ; Morari, Antonio ; Ascanio, Joseph ; Cornazzani, Phileno Agostino ; Mussotto, Alberto ; Lassus, Ferdinand de ; Lassus, Rudolph de ; Pagani, Ferdinand ; Ingegneri, Marc Antonio, book 5, Ardo sì ma non t’amo perfida e dispietata";1585;Germany (East);"Monachii ; Munich";Adamus Berg;"Collection of 31 madrigals in four and five parts (SATTB) ; Title from Quinta vox part book title page ; Transcribed title from Quinta vox part book: SDEGNOSI ARDORI / MVSICA DI DIVERSI / AVTTORI, SOPRA VN ISTESSO / SOGGETTO DI PAROLE, A CIN- / QVE VOCI, RACCOLTI IN- / SIEME DA / GIVLIO GIGLI DA IMMOLA. / QVINTA VOX / MONACHII EXCVDEBAT ADAMVS BERG. / Cum gratia & priuilegio Sacræ Cæsareæ Maiestatis peculiari. / ANNO SALVTIS M.D.LXXXV ; With table of contents and coat of arms of the dedicatee ; Copy at A.1350. QVINTA VOX (24 leaves); paper dimensions: 148 x 200 mm";Ardo si, Ma no[n] t’amo / FILIPPO DI MONTE -- Ardo si, Ma no[n] t’amo / CONSTANTIO PORTA -- Ardo si, ma non t’amo / MARCO ANTONIO INGEGNIERI -- Ardo si, ma non t’amo / MICHELE VAROTTO -- Ardo si, ma no[n] t’amo / FRANCESCO ROVIGO -- Ardo si, ma non t’amo / DIL MEDESIMO -- Ardo si, ma non t’amo / LELIO BERTANI -- Ardo si, ma no[n] t’amo / GIAC. REGNART -- Ardo si, ma no[n] t’amo / GIOVANNI CAVACCIO -- Ardo si, ma no[n] t’amo / GIORGIO FLORIO -- Ardo si, ma non t’amo / GASPARO COSTA -- Ardo si, ma no[n] t’amo / PAOLO MASNELLI -- Ardo si, ma non t’amo / BERNARDINO MOSTO -- Ardo si, ma non t’amo / PIETRO RAGNO -- Ardo si, ma no[n] t’amo / VICT. RAI. -- Ardo si, ma non t’amo / GIVLIO RICCIO -- Ardo si, ma non t’amo / LEONARDO LECHNER -- Ardo si, ma non t’amo / FRANCESCO SALE. -- Ardo si, ma no[n] t’amo / FLAVIO RICCI -- Ardo si, ma no[n] t’amo / ORLANDO LASSO -- Ardo si, ma no[n] t’amo / GIOVANNI FOSSA -- Ardo si, ma no[n] t’amo / ANTONIO MORARI -- Ardo si, ma no[n] t’amo / IOSEFO ASCANII -- Ardo si, ma non t’amo / DIL MEDESIMO -- Ardo si, ma non t’amo / FILENO CORNAZZANI -- Ardo si, ma no[n] t’amo / ALBERTO MVSSOTTO -- Ardo si, ma non t’amo / FERDINANDO LASSO -- Ardo si, ma non t’amo / RIDOLFO LASSO -- Ardo si, ma no[n] t’amo / FERDINANDO PAGANI -- Ardo si, ma no[n] t’amo / GIVLIO GIGLI DA IMMOLA -- Ardo si, ma no[n] t’amo / ORLANDO LASSO;Madrigals, Italian--16th century;;
4308701;Dolci Affetti : Madrigali a cinque voci;;"Mentre ti fui si grato ; Mentre ti fui si cara ; Or plien d’altro desio ; Or un laccio, un ardore ; Lasso dunque che fia ; Benché, senza mentire ; O bella Ninfa mia ; Poi che’l mio amor v’annoia ; Qual vaga pastorella ; Se dal soave & amoroso sguardo ; Per rapidissime onde spalme l’alto desio ; Mentre s’inperla e’nfiora ; Aurora e’l giorno e’l sole ; Una bianca cervetta il cui bell collo intorno ; In quel ben nato ; Amor s’in lei chè’un ghiaccio ; Celeste Donna in bel sembiante umano ; Da begl’occhi ; Occhi dolci ; Vaghe luci, alti lumi, ardenti faci ; La mia leggiadra Clori ; Da vaghe perle e da vermiglie rose";;;"Nanino, Giovanni Maria ; Moscaglia, Giovanni Battista ; Marenzio, Luca ; Macque, Giovanni de ; Soriano, Francesco ; Zoilo, Annibale ; Palestrina, Giovanni Pierluigi da ; Stabile, Annibale ; Dragoni, Giovanni Andrea ; Bellasio, Paolo ; Roy, Bartolomeo ; Pervue, Nicolò ; Tartaglino, Ippolito ; Locatello, Giovanni Battista ; Scotto (Firm) [publisher]";1585;Italy;"In Vinegia ; Venice";Appresso l'Herede di Girolamo Scotto;"Collection of madrigals (SATB5) ; With table of contents ; The first six madrigals are part of a cycle (designated ‘sestina’ in the 1582 edition) ; Title from Canto part book title page ; Transcribed title from Canto part book: CANTO / DOLCI AFFETTI / MADRIGALI A CINQVE VOCI / DE DIVERSI ECCELLENTI MVSICI DI ROMA / Nuouamente ristampati. / IN VINEGIA Appresso l’Herede di Girolamo Scotto. / MDLXXXV ; Pagination: Canto: [1], 2-24; Quinto: [1], 2-24 ; Copy at D.158. Canto (12 leaves), Quinto (12 leaves); paper dimensions: 208 x 151 mm (Canto); 216 x 157 mm (Quinto)";Mentre ti fui si grato / M. Gio. Nanino -- Mentre ti fui si cara / M. Gio. Batista Moscaglia -- Hor plen d’altro desio / M. Luca Marenzio -- Hor vn laccio vn’ardore / M. Gio Macque -- Lasso dunque che fia / Francesco Soriano -- Benche senza mentire / M. Anibale zoilo -- O bella Ninfa mia ch’al fuoco spento / Gianetto Palestino -- Poi che’l mio Amor v’annoia / M. Gio. Maria Nanino -- Qval vaga pastorella / Anibale stabile -- Se dal soaue & amoroso sguardo / Gio. Andrea Dragoni -- Per rapidissime onde spalme l’alto desio / Gio. Batista Moscaglia -- Mentre s’inperla e’nfiora / Paulo Bellasio -- L’aurora e’l giorno e’l sole / M. Gio. M. Nanino -- Vna bianca ceruetta Il cui bell collo intorno / Bartolomeo Roy -- In quel ben nato auenturoso giorno / Lucca Marentio -- Amor s’in lei chè’vn ghiaccio / Nicolo parue -- Donna la bella mano che per donar porgeste / Arcangelo Bergamasco -- Celeste Donna in bel sembiante humano / Hipolito Tartaglino -- Da begl’occhi ch’adoro lagrimette cadean / Gio. Battista locatello -- Occhi dolci occhi dolci occhi cari / Annibale zoilo -- Vaghe luci alti lumi ardenti faci / Annibale zoilo -- La mia leggiadra clori / Gio. De Macque -- Da vaghe perle e da vermighe rose / Gio. Maria Nanino;Madrigals, Italian--16th century;5;
4565455;Il primo libro de madrigali a cinque voci;;;;;"Bona, Mateo di [dedicatee] ; Felis, Stefano [composer] ; Gardano, Angelo [printer] ; Pace, Giovanni Battista [composer] ; Vopa, Giovanni Donato [composer] ; Gardane (Firm) [printer]";1585;Italy;"In Venetia ; Venice";Appresso Angelo Gardano;"Collection of madrigals in 5 parts (SATBQ) by Giovanni Battista Pace, Giovanni Donato Vopa and Stefano Felis ; Transcribed title page from Canto part book: IL PRIMO LIBRO DE MADRIGALI / A CINQVE VOCI DI GIO. BATTISTA PACE, / ET GIOVAN DONATO VOPA, / Discepoli di Stefano Felis da Bari: / Nouamente Composti, & dati in luce. / In Venetia Appresso Angelo Gardano / M. D. LXXXV ; With table of contents ; Includes dedication from Gio. Battista Pace and Gio. Donato Vopa to Mateo di Bona, in Italian ; Copy at K.7.b.10. Canto (12 leaves); Alto (12 leaves); Tenore (12 leaves); Basso (8 leaves); Quinto (12 leaves); original foliation: all parts except Basso: [i-ii], 1-21, [22]; Basso [i-ii], 1-2, [pages 3-6 missing], 7-21, [22]; paper dimensions: 157 x 217 mm ; Copy at K.7.b.10. Digitised score at http://purl.org/rism/BI/1585/30";E veramente fra le stelle / Gio. Donato de la Vopa -- Mille amorosi bacci / Gio. Donato de la Vopa -- Mentre [scherzava amor] (seconda parte: Ben sei felice) / Gio. Battista Pace -- Sotto finti d'Amor dolci sembianti (seconda parte: Ne v'ingann'il mirar) (terza parte: Et io benche infelice) / Stefano Felis -- Se le lagrime tue (seconda parte: Deh fammi degno haverle) / Gio. Donato de la Vopa -- Spirti celesti e puri / Gio. Donato de la Vopa -- A pianti amari (seconda parte: Ohime dolce ben mio) (terza parte: Vostra belta co'i primi raggi suoi) / Gio. Battista Pace -- Felice primavera di bei pensier fiorisce (seconda parte: Danzan le ninfe honeste) / Gio. Donato de la Vopa -- Amor fra bosch'e solitarie selve / Gio. Battista Pace -- Corran d'argento i fiumi / Gio. Battista Pace -- Ahi trascurato cor / Gio. Donato de la Vopa -- Mentre ch'io vo là dove amor m'invia / Gio. Donato de la Vopa -- Mentre piango i miei falli e l'aria intorno / Gio. Battista Pace -- O com'è bella / Gio. Battista Pace;Madrigals, Italian;5;
4483222;I lieti amanti. Primo libro de madrigali a cinque voci;;"Tirsi dolente e mesto ; Non visse la mia vita ; Cara mia Dafne a Dio ; Tanto donna stim’io ; A dio bella Siringa ; Fallace ardìr e troppo stolte voglie ; Due pallidetti amanti ; Falsa credenza havete donna ; Pres’una verde riva ; Se m’amasti io t’amai ; Dolce vaga mia Clori ; Donna ben v’ingannate ; A dio mio dolce Aminta ; Se da tuoi lacci sciolto ; A dio Titiro disse ; Madrigals ; Dolc’Amaranta a dio ; Voi sete in grand’errore ; Filli al partir del suo caro ; Sdegno dal fiamma estinse";;;"Vincenti, Giacomo [publisher] ; Amadino, Ricciardo [publisher] ; Zanluca, Hippolito [compiler] ; Bevilacqua, Mario [dedicatee] ; Fiorini, Ippolito ; Striggio, Alessandro ; Vecchi, Orazio ; Mel, Rinaldo del ; Alberti, Innocentio ; Rota, Andrea ; Milleville, Alessandro ; Marenzio, Luca ; Tosone, Marcello ; Ganassi, Alfonso ; Agostini, Lodovico ; Porta, Costanzo ; Dall’Occa, Alberto ; Giovannelli, Ruggiero ; Virchi, Paolo ; Wert, Giaches de, book 8, Io non son però morto ; Isnardi, Paolo ; Gabrieli, Andrea ; Luzzaschi, Luzzasco ; Bertani, Lelio";1586;Italy;"In Venetia ; Venice";Presso Giacomo Vincenzi, & Ricciardo Amadino, compagni;"Collection of Italian madrigals in five parts (SATB5) ; All pieces for five voices apart from the last two, which are in six parts ; With table of contents on p. [22] ; Title from Canto part book title page ; Transcribed title from Canto part book: CANTO / I LIETI AMANTI / PRIMO LIBRO / DE MADRIGALI / A CINQUE VOCI, / DI DIVERSI ECCELLENTISSIMI MVSICI / nouamente composti, & dati in luce. / IN VENETIA / Presso Giacomo Vincenzi, & Ricciardo Amadino, compagni. / M D LXXXVI ; Pagination: [i], 1–2, 5, 4–5, 3, 7–11, 10, 13–21, [22] p. (Canto) ; Copy at C.123.s. CANTO (12 leaves); paper dimensions: 210 x 155 mm";Tirsi dolent’e mesto / Hippolito Fiorino -- Non uisse la mia uita / Alessandro Striggio -- Cara mia Dafne / Oratio Vecchi -- Tanto Donna stim’io / Rinaldo del Mel -- A Dio bella / Innocentio Alberti -- Fallace ardir e troppo stolte uoglie / Andrea Rota -- Dve pallidetti Amanti / Alessandro Milleuille -- Falsa credenza hauete Donna / Luca Marenzio -- Pres’una verde riua / Marcello Tosoni -- Se m’amasti io t’amai / Alfonso Ganasi -- Dolce uaga mia Clori / D. Lodouico Agostini -- Donna ben u’ingannate / Constanzo Porta -- A Dio mio dolce Aminta / Alberto l’hocca -- Se da tuoi lacci sciolto / Ruggiero Giouanelli -- A Dio Titiro disse / Paolo Virchi -- Io no[n] son però morto / Giaches Vuert -- Dolc’Amaranta a Dio / Paulo Isnardi -- Voi sete in grand’errore / Andrea Gabrielli -- Filli al partir del suo caro / Luzzasco Luzzaschi -- Sdegno la fiamma estinse / Lelio Bertani;Madrigals, Italian--16th century;5;
4503316;De floridi virtuosi d'Italia : il terzo libro de madrigali à cinque voci : novamente composti, & dati in luce;;;Floridi virtuosi d'Italia, libro 3;;"Acelli, Cesare [composer] ; Amadino, Ricciardo [printer] ; Anerio, Felice [composer] ; Belli, Girolamo [composer] ; Carra, Michele [composer] ; Coma, Annibale [composer] ; Dragoni, Giovanni Andrea [composer] ; Gonzaga, Guglielmo [dedicatee] ; Griffi, Orazio [composer] ; Masnelli, Paolo [composer] ; Micheli, Domenico [composer] ; Moscaglia, Giovanni Battista [composer] ; Nanino, Giovanni Maria [composer] ; Pallavicino, Benedetto [composer] ; Parma, Nicolo [composer] ; Sabino, Ippolito [composer] ; Spontone, Bartolomeo [composer] ; Striggio, Alessandro [composer] ; Vecchi, Orazio [composer] ; Vincenti, Giacomo [printer] ; Zoilo, Annibale [composer]";1586;Italy;"In Venetia ; Venice";Presso Giacomo Vincenzi, & Ricciardo Amadino, compagni;"Collection of madrigals in five parts (CATB5) ; Title from Canto part book ; Transcribed title page from Canto part book: DE FLORIDI / VIRTVOSI / D’ITALIA, / IL TERZO LIBRO DE MADRIGALI / à Cinque Voci, nouamente composti, / & dati in luce. / IN VENETIA / Presso Giacomo Vincenzi, & Ricciardo Amadino, compagni. / M D LXXXVI ; With table of contents in the end ; Dedication addressed to Guglielmo Gonzaga by Giacomo Vincenti, signed ‘Di Venetia il dì 11 di Luglio 1586.’ ; Copy at C.123. Digitised score at http://purl.org/rism/BI/1586/9 ; Copy at C.123. Canto (12 leaves) Tenore (12 leaves) Quinto (12 leaves); original foliation: Canto: [i-ii], 1-22 p. Tenore: [i-ii], 1-22 p. Quinto: [i-ii], 1-22 p.; paper dimensions: Canto: up to 230 x 170 mm Tenore: up to 232 x up to 172 mm Quinto: 210 x 155 mm";Per uscir di martire / Gio: Andrea Dragoni -- E con Aminta vai / Gio: Maria Nanino -- Clori gentil il vostro vago volto / Annibal Zoilo -- Cinthia mia dolce e cara / Nicola Parma -- Oime Se ne le vostre fresche rose / Girolamo Belli -- O di rare eccellenze al mondo sola / Oratio Vecchi -- Ninfe leggiadr’e belle / Alessandro Striggio -- O dolce anima mia / Hippolito Sabino -- Cara e dolce mia vita / Benedetto Pallavicino -- Temo ch’altri si goda il mio bel Sole / Felice Anerio -- Dolce Angioletta mia / D. Nicola Parma -- Le fiamme accese di cotanti sguardi / Michele Carrara -- Sol mirando vorrei Che senz’altre parole / Dominico Micheli -- Scherzando l’aura intorno ad un bel fiore / Gio. Andrea Dragone -- Dido chi giace entro quest’urna / Gio: Pier Luigi Palestrina -- L’aure soavi e li odorati fiori / Oratio Griffi -- Hor che soave l’aura ogni canto / Benedetto Pallavicino -- A che tormi il ben mio / Paolo Masenelli -- Caro dolce mio Amore / Annibal Coma -- Leggiadra pastorella Al giovinetto giorno / Bartholomeo Sponton -- Se mai piu t’amo e se mai piu t’honoro / Gio. Battista Mascaglia -- Donna mia casta e bella / Cesare Accelli;Madrigals, Italian;5;
4503315;De floridi virtuosi d'Italia : il primo libro de madrigali à cinque voci, novamente ristampato;;"Dolci alpestre parole ; Se tu mi la sei perfido ; Ch’ami la vita mia ; Tra mille fiamme ; Donna leggiadra e bella ; Lasso quand’io sperai ; E ben ne fui presago ; Posso cor mio partire ; S’in mezo al foco ; Se la mia donna altiera ; Clori vezzosa ; Dunque sia vero ò cara mia ; Tra le piu ascose ; O ricco mio thesoro ; Vieni Flora gentil ; Amor se la mia donna ; Fui vicino al cader ; Dentro a un bagno di rose ; A dio bella Clorinda ; Pensai fra queste ripe ; Chi vol veder un sole";;;"Vincenti, Giacomo [publisher] ; Amadino, Ricciardo [publisher] ; Mosto, Giovanni Battista ; Marenzio, Luca ; Bertani, Lelio ; Vecchi, Orazio ; Gabrieli, Giovanni ; Stabile, Annibale ; Macque, Giovanni de ; Zoilo, Annibale ; Dragoni, Giovanni Andrea ; Masnelli, Paolo ; Mosto, Bernardino ; Peruve, Nicolas ; Cavaccio, Giovanni ; Orologio, Alessandro";1586;Italy;"In Venetia ; Venice";Presso Giacomo Vincenzi, & Ricciardo Amadino, compagni;"Collection of Italian madrigals in five parts (SATB5) ; With table of contents on p. 23 ; Title from Canto part book title page ; Transcribed title from Canto part book: CANTO / DE FLORIDI / VIRTVOSI / D’ITALIA, / IL PRIMO LIBRO DE MADRIGALI / à Cinque Voci, nouamente ristampato. / IN VENETIA / Presso Giacomoo Vincenzi, & Ricciardo Amadino, compagni. / M D LXXXVI ; Pagination: 1–23 p. (Canto) ; Copy at C.123.r. CANTO (12 leaves); paper dimensions: 210 x 155 mm";Dolci alpestre parole / Gio: Battista Mosto -- Se tu mi la sei perfido / Luca Marenzio -- Ch’ami la vita mia / Lelio Bertani -- Tra mille fiamme / Oratio Vecchi -- Donna leggiadra e bella / Giouanni Gabrieli -- Lasso quand’io sperai (Seconda parte: E ben ne fui presago) / Annibal Stabile -- Posso cor mio partire / Gio. de Macque -- S’in mezo al foco / Annibal Zoilo -- Se la mia donna altiera / Gio. Andrea Dragoni -- Clori vezzosa / Paolo Masnelli -- Dvnque sia vero ò cara mia (Seconda parte: Dvnque il consenti) / Bernardino Mosto -- Tra le piu ascosel in fe / Nicolo Perue -- O ricco mio thesoro / Gio. Gabrieli -- Vieni Flora gentil / Gio: Battista Mosto -- Amor se la mia don[n]a / Annibal Zoilo -- Fvi vicino al cader (Seconda parte: Ma come augel che fugga) / Giouan Cauaccio -- Dentr’a un bagno di rose / Alessandro Orologio -- A Dio bella Clorinda / Oratio Vecchi -- Pensai fra queste ripe / Gio. Andrea Dragoni -- Chi vol veder vn Sole / Nicolo Peruuè;Madrigals, Italian--16th century;5;
4548756;Madrigali a cinque voci;;"Lasso ch’ogni augelletto ; Chiari cristalli ; Dolce fiammella mia ; Questa si bianca neve ; Vaneggio od’è vero ; Giocond’e crudo fato ; Amor deh dimmi come ; D’amor le ricche gemme ; Godeano in ciel ; Quand’io son tutto volto ; Dolorosi martir ; Lasso fia mai ; Vienn’Himeneo ; Volete pur ch’io mora ; Non m’è la morte strana ; Aventuroso più d’ogni altro colle ; Selva che di contenti";;;"Nanino, Giovanni Maria ; Stabile, Annibale ; Gardane (Firm) [publisher]";1587;Italy;"In Venetia ; Venice";Appresso Angelo Gardano;"Collection of madrigals in five parts (SATB5) ; With table of contents ('TAVOLA DELLI MADRIGALI') ; Title-page with Antonio Gardano’s printer mark: a lion and a bear facing each other with a banner draped around them the motto ‘CONCORDES VIRTVTE ET NATVRAE MIRACVLIS’ ; Title from Canto part book title page ; Transcribed title from XXXX part book: CANTO / MADRIGALI A CINQVE VOCI / DI GIOVAN MARIA NANINO / ET DI ANNIBAL STABILE / Nouamente Ristampati. / In Venetia Appresso Angelo Gardano. / M. D. LXXXVII ; This is a new edition of RISM B/I, 1581¹⁰ ; Pagination: [i-ii], 1-21, [22] p. (Canto) ; Copy at A.341.a. Canto (12 leaves); paper dimensions: 144 x 201 mm";Lasso ch’ogni augelletto Segue hor cantando l’amorosa schiera / Gio. Maria Nanino -- Chiari cristalli da begliocchi santi Co’capei d’oro sciolti ond’amor suole (seconda parte: Il Ciel fermossi ad a scoltar gli accenti) / Annibal Stabile -- Dolce fiammella mia s’hai tanto ardire / Gio. Maria Nanino -- Qvesta si bianca neue C’hor io dolce suggendo / Gio. Maria Nanino -- Vaneggio od’è pur vero Ch’io mi senta nel core / Annibal Stabile -- Giocond’e crudo fato Che’n si oscura prigion / Gio. Maria Nanino -- Amor deh dimmi come Sta nel cor di costei l’orgoglio e’l gelo / Gio. Maria Nanino -- D’Amor le ricche gemme Onde quasi gra[n] Regg’ei sincorona / Annibal Stabile -- Godeano in Ciel fra le piu chiare stele Di Leda i figli (seconda parte: Non ti doler ch’il bel del paradiso) / Gio.Maria Nanino -- Qvand’io son tutto volto in quella parte Oue’l bel viso di Madonna luce (seconda parte: Cosi dauanti à i colpi della morte) / Annibal Stabile -- Dolorosi martir fieri tormenti Duri ceppi empi lacci aspre catene / Gio. Maria Nanino -- Lasso fia mai che dopo tante pene L’anima stanca riposar si possa / Annibal Stabile -- Vien’Himeneo deh vieni Per che questa del ciel pura / Gio. Maria Nanino -- Volete pur ch’io mora O dolce nemica Prima ch’à voi presente il mio mal dica / Annibal Stabile -- Non m’è la morte strana Se morte dir si puo la morte mia / Annibal Stabile -- Aventuroso piu d’ogni altro colle Colle Augusto felice / Gio. Maria Nanino -- SELVA che di contenti Piaceri e gioia risonar faceui GIA monti e piaggie hor velove ne leui / Gio. Maria Nanino;;5;
4518443;Di Don Bastiano Melfio ... Il Primo Libro de Madrigali a Cinque Voci, Nouamente composti, & dati in luce. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.);;;Melfio, Bastiano;;;1587;Italy;Venetia;Appresso Angelo Gardano;;;;5;
