,Madrigal,Composer single madrigal,Voices,Keywords,Composer collection,Keywords_en
3214,Se la dogliae' l martire,,5,"[""dogliae'"", 'martire']",Girolamo Frescobaldi,"['pain', 'martyr']"
3215,Da qual sfera del ciel fra noi discese,,5,"['qual', 'sfera', 'ciel', 'fra', 'discese']",Girolamo Frescobaldi,"['sphere', 'heaven', 'among', 'us', 'descend']"
3216,Perchè spess'a veder la vostra luce,,5,"['perchè', ""spess'a"", 'veder', 'luce']",Girolamo Frescobaldi,"['often', 'see', 'light']"
3217,"Amor, amor ti chiam'il mondo",,5,"['amor', 'amor', ""chiam'il"", 'mondo']",Girolamo Frescobaldi,"['love', 'love', 'world', 'calls']"
3218,v.1 = 6 Madrigals to 4 voices. v.2 = 12 Madrigals to 5 voices. v.3 = 6 Madrigals to 6 voices,,,"['v', '1', '=', '6', 'madrigals', '4', 'voices', 'v', '2', '=', '12', 'madrigals', '5', 'voices', 'v', '3', '=', '6', 'madrigals', '6', 'voices']",George Kirbye,"['v', '1', '=', '6', 'madrigals', '4', 'voices', 'v', '2', '=', '12', 'madrigals', '5', 'voices', 'v', '3', '=', '6', 'madrigals', '6', 'voices']"
3219,Come nave ch'in mezzo all'onde sia,,5,"['nave', ""ch'in"", 'mezzo', ""all'onde""]",Leonhard Lechner,"['like', 'ship', 'middle', 'waves']"
3220,"Fato, fortuna, predestinatione",,5,"['fato', 'fortuna', 'predestinatione']",Leonhard Lechner,"['fate', 'fortune', 'predestination']"
3221,Che più d'un giorno è la vita mortale,,5,"[""d'un"", 'giorno', 'vita', 'mortale']",Leonhard Lechner,"['mortal', 'life', 'day']"
3222,"Appendix = Ardo sì, ma non t'amo",,5,"['appendix', '=', 'ardo', 'sì', ""t'amo""]",Leonhard Lechner,"['appendix', '=', 'burn', 'love']"
3223,Zefiro torna (4),,4; 5,"['zefiro', 'torna', '(4)']",Luca Marenzio,"['zephyr', 'returns', '(4)']"
3224,Vezzosi augelli (4),,4; 5,"['vezzosi', 'augelli', '(4)']",Luca Marenzio,"['pretty', 'birds', '(4)']"
3225,Solo e pensoso (5),,4; 5,"['solo', 'pensoso', '(5)']",Luca Marenzio,"['alone', 'pensive', '(5)']"
3226,"Ahi, dispietata morte (4)",,4; 5,"['ahi', 'dispietata', 'morte', '(4)']",Luca Marenzio,"['ouch', 'ruthless', 'death', '(4)']"
3227,Scaldava il sol (5),,4; 5,"['scaldava', 'sol', '(5)']",Luca Marenzio,"['warmed', 'sun', '(5)']"
3228,Scendi del Paradiso (5),,4; 5,"['scendi', 'paradiso', '(5)']",Luca Marenzio,"['descend', 'heaven', '(5)']"
3229,"Se la mia vita, à 4",,,"['vita', '4']",Luca Marenzio,"['vita', '4']"
3230,"Senza il mio sole, à 5",,,"['senza', 'sole', '5']",Luca Marenzio,"['without', 'sun', '5']"
3231,"O fere stelle, à 6",,,"['fere', 'stelle', '6']",Luca Marenzio,"['fere', 'stars', '6']"
3232,"Basti fin qui le pene, à 10",,,"['basti', 'fin', 'pene', '10']",Luca Marenzio,"['basti', 'fine', 'pene', '10']"
3233,La giovinetta pianta,,,"['giovinetta', 'pianta']",Claudio Monteverdi,"['girl', 'plants']"
3234,O come è gran martire,Battista Guarini,,"['gran', 'martire']",Claudio Monteverdi,"['great', 'martyr']"
3235,Sovra tenere erbette e bianchi fiori,,,"['sovra', 'tenere', 'erbette', 'bianchi', 'fiori']",Claudio Monteverdi,"['tender', 'herbs', 'white', 'flowers']"
3236,"O dolc' anima mia, dunque è pur vero",Battista Guarini,,"[""dolc'"", 'anima', 'dunque', 'pur', 'vero']",Claudio Monteverdi,"['sweet', 'soul', 'therefore', 'true']"
3237,Stracciami pur il core,Battista Guarini,,"['stracciami', 'pur', 'core']",Claudio Monteverdi,"['tear', 'core', 'away']"
3238,O rossignuol ch'in queste verdi fronde,Pietro Bembo,,"['rossignuol', ""ch'in"", 'verdi', 'fronde']",Claudio Monteverdi,"['redhead', 'green', 'fronds']"
3239,Se per estremo ardore,Battista Guarini,,"['estremo', 'ardore']",Claudio Monteverdi,"['extreme', 'ardor']"
3240,"Vattene pur, crudel, con quella pace",,,"['vattene', 'pur', 'crudel', 'pace']",Claudio Monteverdi,"['go', 'away', 'cruel', 'one', 'peace']"
3241,Prima parte,Torquato Tasso,,"['prima', 'parte']",Claudio Monteverdi,"['first', 'part']"
3242,Là tra 'l sangue e le morti egro giacente,,,"['là', ""'l"", 'sangue', 'morti', 'egro', 'giacente']",Claudio Monteverdi,"['lying', 'blood', 'dead']"
3243,Seconde parte,Torquato Tasso,,"['seconde', 'parte']",Claudio Monteverdi,"['second', 'part']"
3244,"Poi ch’ella in sé tornò, deserto e muto",,,"['poi', 'ch’ella', 'sé', 'tornò', 'deserto', 'muto']",Claudio Monteverdi,"['returned', 'deserted', 'mute']"
3245,Terza e ultimata parte,Torquato Tasso,,"['terza', 'ultimata', 'parte']",Claudio Monteverdi,"['third', 'last', 'part']"
3246,"O primavera, gioventù de l'anno",Battista Guarini,,"['primavera', 'gioventù', ""l'anno""]",Claudio Monteverdi,"['spring', 'youth', 'year']"
3247,Perfidissimo volto,Battista Guarini,,"['perfidissimo', 'volto']",Claudio Monteverdi,"['treacherous', 'face']"
3248,"Ch’io non t’ami, cor mio?",Battista Guarini,,"['ch’io', 't’ami', 'cor', 'mio?']",Claudio Monteverdi,"['love', 'heart?']"
3249,"Occhi, un tempo mia vita",Battista Guarini,,"['occhi', 'tempo', 'vita']",Claudio Monteverdi,"['eyes', 'life']"
3250,Vivrò fra i miei tormenti e le mie cure,,,"['vivrò', 'fra', 'tormenti', 'cure']",Claudio Monteverdi,"['live', 'torments', 'cures']"
3251,Prima parte,Torquato Tasso,,"['prima', 'parte']",Claudio Monteverdi,"['first', 'part']"
3252,"Ma dove, oh lasso me!",,,"['oh', 'lasso']",Claudio Monteverdi,"['oh', 'alas']"
3253,Seconda parte,Torquato Tasso,,"['seconda', 'parte']",Claudio Monteverdi,"['second', 'part']"
3254,Io pur verrò là dove sete,,,"['pur', 'verrò', 'là', 'sete']",Claudio Monteverdi,[]
3255,Terze e ultima parte,,,"['terze', 'ultima', 'parte']",Claudio Monteverdi,"['third', 'last', 'part']"
3256,Torquato Tasso,,,"['torquato', 'tasso']",Claudio Monteverdi,"['torquato', 'tasso']"
3257,"Lumi, miei cari lumi",,,"['lumi', 'cari', 'lumi']",Claudio Monteverdi,"['lights', 'dear', 'lights']"
3258,Battista Guarini,,,"['battista', 'guarini']",Claudio Monteverdi,"['battista', 'guarini']"
3259,Rimanti in pace,,,"['rimanti', 'pace']",Claudio Monteverdi,"['remain', 'peace']"
3260,Prima parte,Livio Celiano,,"['prima', 'parte']",Claudio Monteverdi,"['first', 'part']"
3261,"Ond'ei, di morte la sua faccia impressa",,,"[""ond'ei"", 'morte', 'impressa']",Claudio Monteverdi,"[""ond'ei"", 'face', 'imprinted', 'death']"
3262,Seconda parte,Livio Celiano,,"['seconda', 'parte']",Claudio Monteverdi,"['second', 'part']"
3263,Ecco mormorar l'onde,,,"['ecco', 'mormorar', ""l'onde""]",Claudio Monteverdi,"['ecco', 'mormorar', ""l'onde""]"
3264,O come è gran martire,,,"['gran', 'martire']",Claudio Monteverdi,"['great', 'martyr']"
3265,Anima dolorosa,,,"['anima', 'dolorosa']",Claudio Monteverdi,"['painful', 'soul']"
3266,La piaga ch'ho nel core,,,"['piaga', ""ch'ho"", 'core']",Claudio Monteverdi,"['wound', 'heart']"
3267,M'è più dolce il penar,,,"[""m'è"", 'dolce', 'penar']",Claudio Monteverdi,"['penar', 'sweeter']"
3268,T'amo mia vita,,,"[""t'amo"", 'vita']",Claudio Monteverdi,"['love', 'life']"
3269,Canzonets,,,['canzonets'],Claudio Monteverdi,['canzonets']
3270,"La fiera vista, Chi vuol veder un bosco, Vita de l'alma mia",,,"['fiera', 'vista', 'vuol', 'veder', 'bosco', 'vita', ""l'alma""]",Claudio Monteverdi,"['proud', 'view', 'wants', 'see', 'forest', 'life', 'soul']"
3271,Madrigals (Bk.5),,,"['madrigals', '(bk', '5)']",Claudio Monteverdi,"['madrigals', '(bk', '5)']"
3272,"T'amo, mia vita (à 5) & E cosi poco a poco (à 6)",,,"[""t'amo"", 'vita', '(à', '5)', '&', 'cosi', 'poco', 'poco', '(à', '6)']",Claudio Monteverdi,"['love', 'life', '(à', '5)', '&', 'little', 'little', '(à', '6)']"
3273,Altri canti d'amor,,,"['altri', 'canti', ""d'amor""]",Claudio Monteverdi,"['love', 'songs']"
3274,altri cante di marte ,,,"['altri', 'cante', 'marte']",Claudio Monteverdi,"['others', 'sing', 'mars']"
3275,Due belli occhi,,,"['due', 'belli', 'occhi']",Claudio Monteverdi,"['two', 'beautiful', 'eyes']"
3276,Though Philomela lost her love.,,3; 4; 5,"['though', 'philomela', 'lost', 'love']",Thomas Morley,"['though', 'philomela', 'lost', 'love']"
3277,"O sleep, fond fancy.",,3; 4; 5,"['sleep', 'fond', 'fancy']",Thomas Morley,"['sleep', 'fond', 'fancy']"
3278,April is in my mistress' face.,,3; 4; 5,"['april', ""mistress'"", 'face']",Thomas Morley,"['april', 'mistress', 'face']"
3279,Now is the gentle season.,,3; 4; 5,"['gentle', 'season']",Thomas Morley,"['gentle', 'season']"
3280,"Help, I fall.",,3; 4; 5,"['help', 'fall']",Thomas Morley,"['help', 'fall']"
3281,Now is the month of Maying.,,3; 4; 5,"['month', 'maying']",Thomas Morley,"['month', 'maying']"
3282,About the maypole new.,,3; 4; 5,"['maypole', 'new']",Thomas Morley,"['maypole', 'new']"
3283,O grief! even on the bud,,3; 4; 5,"['grief', 'even', 'bud']",Thomas Morley,"['grief', 'even', 'bud']"
3284,"1.Intenerite voi, lacrime mie (a 5). 2.Sdegno la fiamma estinse (a 5). 3.O selce, o tigre, o ninfa (a 5). 4.O morte (a 5). 5. Arsi un tempo (a 5). 6. Mori, mi dici (a 5). 7.Or che da te, mio bene (a 4). 8.Cor mio, deh non languire (a 5)",,,"['1', 'intenerite', 'lacrime', '(a', '5)', '2', 'sdegno', 'fiamma', 'estinse', '(a', '5)', '3', 'selce', 'tigre', 'ninfa', '(a', '5)', '4', 'morte', '(a', '5)', '5', 'arsi', 'tempo', '(a', '5)', '6', 'mori', 'dici', '(a', '5)', '7', 'bene', '(a', '4)', '8', 'cor', 'deh', 'languire', '(a', '5)']",Alessandro Scarlatti,"['1', 'move', 'tears', '(a', '5)', '2', 'outrage', 'flame', 'extinguished', '(at', '5)', '3', 'either', 'flint', 'tiger', 'nymph', '(a', '5)', '4', 'death', '(at', '5)', '5', 'burned', 'time', '(at', '5)', '6', 'mori', 'tell', '(at', '5)', '7', 'good', '(a', '4)', '8', 'heart', 'please', 'languish', '(a', '5)']"
3285,"SWV 434, 52, 96, 419, 368, 440, 278, 438, Anh.1, 441, 442, 451, 452, 460",,,"['swv', '434', '52', '96', '419', '368', '440', '278', '438', 'anh', '1', '441', '442', '451', '452', '460']",Heinrich Schütz,"['swv', '434', '52', '96', '419', '368', '440', '278', '438', 'uk', '1', '441', '442', '451', '452', '460']"
3286,"L'Amante timido eccitato (ST, Op. 1",21),2; 3; 4; 5,"[""l'amante"", 'timido', 'eccitato', '(st', 'op', '1']",Barbara Strozzi,"['excited', 'shy', 'lover', '(st', 'op', '1']"
3287,"Il Contrasto de' cinque sensi (SSATB, Op. 1",14),2; 3; 4; 5,"['contrasto', ""de'"", 'cinque', 'sensi', '(ssatb', 'op', '1']",Barbara Strozzi,"['contrast', 'five', 'senses', '(ssatb', 'op', '1']"
3288,"L'Amante modesto (SATTB, Op. 1",13),2; 3; 4; 5,"[""l'amante"", 'modesto', '(sattb', 'op', '1']",Barbara Strozzi,"['modest', 'lover', '(sattb', 'op', '1']"
3289,"Vecchio amante, che rende la piazza (ATB, Op. 1",19),2; 3; 4; 5,"['vecchio', 'amante', 'rende', 'piazza', '(atb', 'op', '1']",Barbara Strozzi,"['old', 'lover', 'makes', 'square', '(atb', 'op', '1']"
3290,"Priego ad Amore (SATTB, Op. 1",15),2; 3; 4; 5,"['priego', 'amore', '(sattb', 'op', '1']",Barbara Strozzi,"['pray', 'love', '(sattb', 'op', '1']"
3291,"Songs to 3 voices : Come shepherd swains. Flourish, ye hillocks. Ah, cruel Amarillis. So light is love. As fair as morn. O what shall I do? I live, and yet methinks. There is a jewel",,3; 4; 5; 6,"['songs', '3', 'voices', 'shepherd', 'swains', 'flourish', 'ye', 'hillocks', 'ah', 'cruel', 'amarillis', 'light', 'love', 'fair', 'morn', 'shall', 'do?', 'live', 'yet', 'methinks', 'jewel']",John Wilbye,"['songs', '3', 'voices', 'shepherd', 'swains', 'flourish', 'ye', 'hillocks', 'ah', 'cruel', 'amarillis', 'light', 'love', 'fair', 'morn', 'shall', 'do?', 'live', 'yet', 'methinks', 'jewel']"
3292,"Songs to 4 voices : When Cloris heard of her Amyntas. Happy streams whose trembling fall. Change me, O heavens. Love not me for comely grace. Fly not so swift, my dear. I love, alas, yet am not loved. As matchless beauty. Happy, oh happy he",,3; 4; 5; 6,"['songs', '4', 'voices', 'cloris', 'heard', 'amyntas', 'happy', 'streams', 'whose', 'trembling', 'fall', 'change', 'heavens', 'love', 'comely', 'grace', 'fly', 'swift', 'dear', 'love', 'alas', 'yet', 'loved', 'matchless', 'beauty', 'happy', 'oh', 'happy']",John Wilbye,"['songs', '4', 'voices', 'cloris', 'heard', 'amyntas', 'happy', 'streams', 'whose', 'trembling', 'fall', 'change', 'heavens', 'love', 'comely', 'grace', 'fly', 'swift', 'dear', 'love', 'alas', 'yet', 'loved', 'matchless', 'beauty', 'happy', 'oh', 'happy']"
3293,"Songs to 5 voices : Sweet honey sucking bees. Yet sweet, take heed. All pleasure is of this condition. Oft have I vowed. Down in a valley. Hard destinies are love and beauty. Weep, weep, mine eyes. There where I saw. Yet that do live in pleasures. A silly Sylvan",,3; 4; 5; 6,"['songs', '5', 'voices', 'sweet', 'honey', 'sucking', 'bees', 'yet', 'sweet', 'take', 'heed', 'pleasure', 'condition', 'oft', 'vowed', 'valley', 'hard', 'destinies', 'love', 'beauty', 'weep', 'weep', 'mine', 'eyes', 'saw', 'yet', 'live', 'pleasures', 'silly', 'sylvan']",John Wilbye,"['songs', '5', 'voices', 'sweet', 'honey', 'sucking', 'bees', 'yet', 'sweet', 'take', 'heed', 'pleasure', 'condition', 'oft', 'vowed', 'valley', 'hard', 'destinies', 'love', 'beauty', 'weep', 'weep', 'mine', 'eyes', 'saw', 'yet', 'live', 'pleasures', 'silly', 'sylvan']"
3294,"Songs to 6 voices : O wretched man. Where most my thoughts. Despiteful thus unto myself. Ah cannot sighs nor tears? Draw on, sweet night. Stay, Corydon, thou swain. Softly, O softly drop, mine eyes. Long have I made these hills",,3; 4; 5; 6,"['songs', '6', 'voices', 'wretched', 'thoughts', 'despiteful', 'thus', 'unto', 'ah', 'cannot', 'sighs', 'tears?', 'draw', 'sweet', 'night', 'stay', 'corydon', 'thou', 'swain', 'softly', 'softly', 'drop', 'mine', 'eyes', 'long', 'made', 'hills']",John Wilbye,"['songs', '6', 'voices', 'wretched', 'thoughts', 'despiteful', 'thus', 'unto', 'ah', 'cannot', 'sighs', 'tears?', 'draw', 'sweet', 'night', 'stay', 'corydon', 'thou', 'swain', 'softly', 'softly', 'drop', 'mine', 'eyes', 'long', 'made', 'hills']"
3295,"Faire, if you expect admiring, à 3",,,"['faire', 'expect', 'admiring', '3']",Thomas Campion,"['expect', 'admiring', '3']"
3296,"Now what is love, à 3",,,"['love', '3']",Thomas Campion,"['love', '3']"
3297,Come senza costei viver (transposed up a 4th),,4,"['senza', 'costei', 'viver', '(transposed', '4th)']",Sebastiano Festa,"['senza', 'costei', 'viver', '(transposed', '4th)']"
3298,2. O passi sparsi,,4,"['2', 'passi', 'sparsi']",Sebastiano Festa,"['2', 'scattered', 'steps']"
3299,Parte prima. Canti guerrieri,,,"['parte', 'prima', 'canti', 'guerrieri']",Claudio Monteverdi,"['part', 'one', 'warrior', 'songs']"
3300,parta seconda. Canti amorosi,,,"['parta', 'seconda', 'canti', 'amorosi']",Claudio Monteverdi,"['start', 'second', 'songs', 'love']"
3301,Ch'io ami la vita mia,,5,"[""ch'io"", 'ami', 'vita']",Claudio Monteverdi,"['love', 'life']"
3302,"Se per havervi, oime",,5,"['havervi', 'oime']",Claudio Monteverdi,"['got', 'wow']"
3303,A che tormi il ben mio,,5,"['tormi', 'ben']",Claudio Monteverdi,"['good', 'to?']"
3304,Amor per tua merce,,5,"['amor', 'merce']",Claudio Monteverdi,"['love', 'goods']"
3305,Baci soavi e cari,,5,"['baci', 'soavi', 'cari']",Claudio Monteverdi,"['sweet', 'dear', 'kisses']"
3306,Se pur non mi consenti,,5,"['pur', 'consenti']",Claudio Monteverdi,['allow']
3307,Filli cara e amata,,5,"['filli', 'cara', 'amata']",Claudio Monteverdi,"['filli', 'dear', 'beloved']"
3308,Poi che del mio dolore,,5,"['poi', 'dolore']",Claudio Monteverdi,['pain']
3309,Fumia la pastorella,,5,"['fumia', 'pastorella']",Claudio Monteverdi,"['shepherdess', 'smokes']"
3310,Almo divino raggio,,5,"['almo', 'divino', 'raggio']",Claudio Monteverdi,"['almo', 'divine', 'ray']"
3311,All'hora i pastor tutti,,5,"[""all'hora"", 'pastor']",Claudio Monteverdi,"['shepherds', 'time']"
3312,Se nel partir da voi,,5,['partir'],Claudio Monteverdi,['leaving']
3313,Tra mille fiamme,,5,"['mille', 'fiamme']",Claudio Monteverdi,"['among', 'thousand', 'flames']"
3314,Usciam ninfe homai,,5,"['usciam', 'ninfe', 'homai']",Claudio Monteverdi,"['let', 'go', 'nymphs', 'homai']"
3315,Questa ordi laccio,,5,"['ordi', 'laccio']",Claudio Monteverdi,"['order', 'lace']"
3316,La vaga pastorella,,5,"['vaga', 'pastorella']",Claudio Monteverdi,"['vague', 'shepherdess']"
3317,Amor s'il tuo ferire,,5,"['amor', ""s'il"", 'ferire']",Claudio Monteverdi,"['love', 'wound']"
3318,Donna s'io miro voi,,5,"['donna', ""s'io"", 'miro']",Claudio Monteverdi,"['woman', 'aim']"
3319,Ardo di ma non t'amo,,5,"['ardo', ""t'amo""]",Claudio Monteverdi,"['burn', 'love']"
3320,Ardi o gela,,5,"['ardi', 'gela']",Claudio Monteverdi,"['burned', 'icy']"
3321,Arsi e alsi,,5,"['arsi', 'alsi']",Claudio Monteverdi,"['arsi', 'alsi']"
3322,Qual è più grand' o amore,,4,"['qual', ""grand'"", 'amore']",Cipriano de Rore,"['greater', 'love']"
3323,Ancor che col partire,,4,"['ancor', 'partire']",Cipriano de Rore,"['even', 'leaving']"
3324,Ben qui si mostra'l ciel,,4,"['ben', ""mostra'l"", 'ciel']",Cipriano de Rore,"['heaven', 'shows', 'well']"
3325,"Non gemme, non fin oro",,4,"['gemme', 'fin', 'oro']",Cipriano de Rore,"['gems', 'gold']"
3326,Come havran fin,,4,"['havran', 'fin']",Cipriano de Rore,"['havran', 'fin']"
3327,Musica prisca caput,,4,"['musica', 'prisca', 'caput']",Nicola Vicentino,"['musica', 'prisca', 'caput']"
3328,Soav'e dolc'ardore,,4,"[""soav'e"", ""dolc'ardore""]",Nicola Vicentino,"[""soav'e"", ""dolc'ardore""]"
3329,Dolce mio ben,,4,"['dolce', 'ben']",Nicola Vicentino,"['sweet', 'love']"
3330,"Madonna, il poco dolce",,4,"['madonna', 'poco', 'dolce']",Nicola Vicentino,"['madonna', 'little', 'sweet']"
3331,"Nemo potest venire, 5 stimmig",,4; 5; 6,"['nemo', 'potest', 'venire', '5', 'stimmig']",Gioseffo Zarlino,"['one', '5', 'stimmig']"
3332,"Ecce iam venit plenitudo, 4 stimmig",,4; 5; 6,"['ecce', 'iam', 'venit', 'plenitudo', '4', 'stimmig']",Gioseffo Zarlino,"['behold', 'fullness', '4', 'stimmig']"
3333,"Misereris omnium Domine, 6 stimmig",,4; 5; 6,"['misereris', 'omnium', 'domine', '6', 'stimmig']",Gioseffo Zarlino,"['mercy', 'lord', '6', 'stimmig']"
3334,"I vo piangend'i miei passati tempi, 5 stimmig",,4; 5; 6,"['vo', ""piangend'i"", 'passati', 'tempi', '5', 'stimmig']",Gioseffo Zarlino,"['go', 'mourning', 'past', 'times', '5', 'stimmig']"
3335,Amatemi ben mio,,3,"['amatemi', 'ben']",Luca Marenzio,"['love', 'dear']"
3336,De gli occhi il dolce giro,,3,"['occhi', 'dolce', 'giro']",Luca Marenzio,"['sweet', 'round', 'eyes']"
3337,Dolce vaga pastorella,,3,"['dolce', 'vaga', 'pastorella']",Luca Marenzio,"['sweet', 'vague', 'shepherdess']"
3338,Se la vostra partita,,3,['partita'],Luca Marenzio,['match']
3339,Zeffiro torna,,3,"['zeffiro', 'torna']",Luca Marenzio,"['zephyr', 'returns']"
3340,1. L'alba cui dolci et pargoletti ,,4,"['1', ""l'alba"", 'dolci', 'pargoletti']",Marc Antonio Ingegneri,"['1', 'dawn', 'whose', 'sweets', 'babies']"
3341,Amor pastor mentre la gregg'errando,,4,"['amor', 'pastor', 'mentre', ""gregg'errando""]",Marc Antonio Ingegneri,"['pastor', 'love', ""gregg'errando""]"
3342,2. Da non veduto aspetto,,4,"['2', 'veduto', 'aspetto']",Marc Antonio Ingegneri,"['2', 'unseen', 'wait']"
3343,3. I' vo' cantar mai sempre,,4,"['3', ""i'"", ""vo'"", 'cantar', 'mai', 'sempre']",Marc Antonio Ingegneri,"['3', ""i'll"", 'always', 'sing']"
3344,"4. Lasso, che nel partire moro",,4,"['4', 'lasso', 'partire', 'moro']",Marc Antonio Ingegneri,"['4', 'lasso', 'died', 'left']"
3345,5. Da mille gravi affanni,,4,"['5', 'mille', 'gravi', 'affanni']",Marc Antonio Ingegneri,"['5', 'thousand', 'grave', 'worries']"
3346,6. Spess'in parte del ciel lucent'e bella,,4,"['6', ""spess'in"", 'parte', 'ciel', ""lucent'e"", 'bella']",Marc Antonio Ingegneri,"['6', 'part', 'sky', 'often', 'bright', 'beautiful']"
3347,"7. Qual grazia, oh qual beltate",,4,"['7', 'qual', 'grazia', 'oh', 'qual', 'beltate']",Marc Antonio Ingegneri,"['7', 'grace', 'oh', 'beauty']"
3348,"8. Lassa, qui sono, e'l core",,4,"['8', 'lassa', ""e'l"", 'core']",Marc Antonio Ingegneri,"['8', 'lassa', ""e'l"", 'core']"
3349,"9. Ore sacre, ch'avete",,4,"['9', 'ore', 'sacre', ""ch'avete""]",Marc Antonio Ingegneri,"['9', 'holy', 'hours', 'have?']"
3350,10. Chi vuol veder tutta raccolt'insieme ,,4,"['10', 'vuol', 'veder', 'tutta', ""raccolt'insieme""]",Marc Antonio Ingegneri,"['10', 'wants', 'see', 'gathered', 'together']"
3351,Vedrà i biondi capei,,4,"['vedrà', 'biondi', 'capei']",Marc Antonio Ingegneri,"['see', 'blond', 'capeis']"
3352,11. Quanto men del mio sole,,4,"['11', 'men', 'sole']",Marc Antonio Ingegneri,"['11', 'much', 'less', 'sun']"
3353,12. Ben è misero l'uom che cangia voglia,,4,"['12', 'ben', 'misero', ""l'uom"", 'cangia', 'voglia']",Marc Antonio Ingegneri,"['12', 'changes', 'miserable']"
3354,13. Non mi toglia 'l ben mio,,4,"['13', 'toglia', ""'l"", 'ben']",Marc Antonio Ingegneri,"['13', 'take', 'away', 'good']"
3355,14. Come al partir del sol si fa maggiore,,4,"['14', 'partir', 'sol', 'fa', 'maggiore']",Marc Antonio Ingegneri,"['14', 'partir', 'sol', 'f', 'major']"
3356,15. Come la notte ogni fiammell'è viva,,4,"['15', 'notte', 'ogni', ""fiammell'è"", 'viva']",Marc Antonio Ingegneri,"['15', 'like', 'night', 'every', 'flame', 'alive']"
3357,16. E se talor mi porgon qualche speme,,4,"['16', 'talor', 'porgon', 'qualche', 'speme']",Marc Antonio Ingegneri,"['16', 'sometimes', 'give', 'hopes']"
3358,"17. Se 'l sol si scosta, e lascia i giorni brevi",,4,"['17', ""'l"", 'sol', 'scosta', 'lascia', 'giorni', 'brevi']",Marc Antonio Ingegneri,"['17', 'sun', 'moves', 'away', 'leaves', 'days', 'short']"
3359,18. Fugga longe da me torment'e noia,,4,"['18', 'fugga', 'longe', ""torment'e"", 'noia']",Marc Antonio Ingegneri,"['18', 'get', 'away', ""torment'e"", 'noia']"
3360,19. Io vo la notte al lume de la luna,,4,"['19', 'vo', 'notte', 'lume', 'luna']",Marc Antonio Ingegneri,"['19', 'go', 'night', 'light', 'moon']"
3361,"20. Amor, poi che non vuole",,4,"['20', 'amor', 'poi', 'vuole']",Marc Antonio Ingegneri,"['20', 'amor', 'want']"
3362,"21. D'un bel chiaro, polito et vivo ghiaccio ",,4,"['21', ""d'un"", 'bel', 'chiaro', 'polito', 'vivo', 'ghiaccio']",Marc Antonio Ingegneri,"['21', 'beautiful', 'clear', 'polished', 'lively', 'ice']"
3363,Ben poria anchor pietà con amor mista,,4,"['ben', 'poria', 'anchor', 'pietà', 'amor', 'mista']",Marc Antonio Ingegneri,"['well', 'still', 'poria', 'pity', 'love', 'mixed']"
3364,"22. I' piango, et ella il volto",,4,"['22', ""i'"", 'piango', 'ella', 'volto']",Marc Antonio Ingegneri,"['22', 'cry', 'face']"
3365,"23. Parto, et vi lascio il core",,4,"['23', 'parto', 'lascio', 'core']",Marc Antonio Ingegneri,"['23', 'leaving', 'leave', 'heart']"
3366,Deus canticum novum (secunda pars: Quia delectasti),Orlando di Lasso,,"['deus', 'canticum', 'novum', '(secunda', 'pars', 'quia', 'delectasti)']",Melchior Neusidler,"['god', 'new', 'song', '(second', 'part', 'pleased)']"
3367,Omnia que fecisti,Orlando di Lasso,,"['omnia', 'fecisti']",Melchior Neusidler,['done']
3368,In me transierunt,Orlando di Lasso,,['transierunt'],Melchior Neusidler,['passed']
3369,Surrexit Pastor bonus,Orlando di Lasso,,"['surrexit', 'pastor', 'bonus']",Melchior Neusidler,"['good', 'shepherd', 'rose']"
3370,Benedica[m] dominu[m] (secunda pars: In domino),Orlando di Lasso,,"['benedica[m]', 'dominu[m]', '(secunda', 'pars', 'domino)']",Melchior Neusidler,"['bless', 'lord', '(second', 'part', 'lord)']"
3371,Gustate & videte (secunda pars: Divites eguerunt),Orlando di Lasso,,"['gustate', '&', 'videte', '(secunda', 'pars', 'divites', 'eguerunt)']",Melchior Neusidler,"['taste', '&', 'see', '(part', 'two', 'rich', 'did)']"
3372,Susanne ung iour,Orlando di Lasso,,"['susanne', 'ung', 'iour']",Melchior Neusidler,"['susanne', 'ung', 'iour']"
3373,Secoures moy,Orlando di Lasso,,"['secoures', 'moy']",Melchior Neusidler,"['secoures', 'moy']"
3374,Iouissance,Adrian Willaert,,['iouissance'],Melchior Neusidler,['iouissance']
3375,Oucques amour,Thomas Crecquillon,,"['oucques', 'amour']",Melchior Neusidler,"['ouch', 'love']"
3376,Dung petit,,,"['dung', 'petit']",Melchior Neusidler,"['dung', 'small']"
3377,Le departir,Orlando di Lasso,,['departir'],Melchior Neusidler,['share']
3378,Pass’e mezo,,,"['pass’e', 'mezo']",Melchior Neusidler,"[""pass'e"", 'mezo']"
3379,El suo saltarello,,,"['el', 'saltarello']",Melchior Neusidler,['jump']
3380,Pass’e mezo La paranzino,,,"['pass’e', 'mezo', 'paranzino']",Melchior Neusidler,"[""pass'e"", 'mezo', 'paranzino']"
3381,El suo saltarello,,,"['el', 'saltarello']",Melchior Neusidler,['jump']
3382,Recercar primo,Melchior Neusidler,,"['recercar', 'primo']",Melchior Neusidler,"['search', 'cousin']"
3383,Recercar secondo,Melchior Neusidler,,"['recercar', 'secondo']",Melchior Neusidler,"['zoom', 'second']"
3384,Recercar Terzo,Melchior Neusidler,,"['recercar', 'terzo']",Melchior Neusidler,"['search', 'terzo']"
